,dwt_type,random_seed,num_estimators,accuracy,recall,precision,f1_score,matthews_corr_coef
102,db4,21,20,0.9931153184165232,0.9032258064516129,0.9655172413793104,0.9333333333333333,0.9302825638550063
103,db4,41,20,0.9908204245553643,0.868421052631579,0.99,0.9252336448598131,0.9226084431558262
104,db4,61,20,0.9902467010900746,0.8979591836734694,0.9263157894736842,0.911917098445596,0.9068787352671451
105,db4,81,20,0.9925415949512335,0.9320388349514563,0.9411764705882353,0.9365853658536586,0.9326357855517639
106,db4,101,20,0.9879518072289156,0.8627450980392157,0.9263157894736842,0.8934010152284264,0.8876542803909991
107,db4,121,20,0.9908204245553643,0.9105691056910569,0.9572649572649573,0.9333333333333333,0.928742263930587
108,db4,141,20,0.9931153184165232,0.9565217391304348,0.9401709401709402,0.9482758620689655,0.9446286714075677
109,db4,161,20,0.9885255306942053,0.8556701030927835,0.9325842696629213,0.8924731182795699,0.8873405223057261
110,db4,181,20,0.9816408491107286,0.8017241379310345,0.9117647058823529,0.8532110091743118,0.8454471579431181
111,db4,201,20,0.9885255306942053,0.9,0.9,0.9,0.8939135727328058
112,db4,221,20,0.9868043602983362,0.8583333333333333,0.944954128440367,0.8995633187772926,0.8937005646370653
113,db4,241,20,0.9913941480206541,0.9166666666666666,0.9428571428571428,0.9295774647887323,0.9250995737539176
114,db4,261,20,0.9885255306942053,0.8532110091743119,0.9587628865979382,0.9029126213592232,0.8985600401645473
115,db4,281,20,0.9879518072289156,0.8478260869565217,0.9176470588235294,0.8813559322033897,0.8757803720948966
116,db4,301,20,0.9896729776247849,0.8918918918918919,0.9428571428571428,0.9166666666666667,0.911566334222845
117,db4,321,20,0.9890992541594952,0.8349514563106796,0.9772727272727273,0.9005235602094241,0.8978972529820621
118,db4,341,20,0.985083189902467,0.8461538461538461,0.9252336448598131,0.8839285714285714,0.8769733083518423
119,db4,361,20,0.9896729776247849,0.8695652173913043,0.9302325581395349,0.898876404494382,0.8940056967423468
120,db4,381,20,0.9896729776247849,0.9339622641509434,0.9,0.9166666666666666,0.911341692967426
121,db4,401,20,0.9919678714859438,0.9,0.9705882352941176,0.9339622641509434,0.9304438417174035
122,db4,421,20,0.9913941480206541,0.9263157894736842,0.9166666666666666,0.9214659685863874,0.9169278150011942
123,db4,441,20,0.9896729776247849,0.8899082568807339,0.941747572815534,0.9150943396226414,0.9100144041552388
124,db4,461,20,0.9913941480206541,0.944954128440367,0.9196428571428571,0.9321266968325792,0.9276308524225386
125,db4,481,20,0.9908204245553643,0.9537037037037037,0.9035087719298246,0.927927927927928,0.9234145291563609
126,db4,501,20,0.985083189902467,0.8518518518518519,0.9019607843137255,0.8761904761904761,0.8686623816663396
127,db4,521,20,0.9873780837636259,0.8476190476190476,0.9368421052631579,0.8900000000000001,0.8845675830425695
128,db4,541,20,0.9885255306942053,0.8738738738738738,0.941747572815534,0.9065420560747663,0.901153581802979
129,db4,561,20,0.9856569133677567,0.8738738738738738,0.8981481481481481,0.8858447488584474,0.878287828138468
130,db4,581,20,0.9890992541594952,0.9042553191489362,0.8947368421052632,0.8994708994708994,0.893722240540027
131,db4,601,20,0.9896729776247849,0.8350515463917526,0.9759036144578314,0.9,0.8976118627536792
132,db4,621,20,0.9890992541594952,0.9117647058823529,0.9029126213592233,0.9073170731707318,0.9015384106767452
133,db4,641,20,0.9833620195065979,0.8173076923076923,0.8947368421052632,0.8542713567839197,0.8464418239962536
134,db4,661,20,0.9885255306942053,0.8857142857142857,0.9207920792079208,0.9029126213592233,0.8970085263826753
135,db4,681,20,0.9902467010900746,0.8921568627450981,0.9381443298969072,0.914572864321608,0.909727446448996
136,db4,701,20,0.9879518072289156,0.8494623655913979,0.9186046511627907,0.88268156424581,0.877087055270808
137,db4,721,20,0.9902467010900746,0.8709677419354839,0.9418604651162791,0.9050279329608939,0.9006610648982841
138,db4,741,20,0.9868043602983362,0.8495575221238938,0.9411764705882353,0.8930232558139535,0.887330946017944
139,db4,761,20,0.9868043602983362,0.8571428571428571,0.8863636363636364,0.8715083798882681,0.8646904455152382
140,db4,781,20,0.9931153184165232,0.9292929292929293,0.9484536082474226,0.9387755102040816,0.9351831581046036
141,db4,801,20,0.9896729776247849,0.8888888888888888,0.9263157894736842,0.9072164948453608,0.9019661572334396
142,db4,821,20,0.9913941480206541,0.9056603773584906,0.9504950495049505,0.927536231884058,0.9232689490380649
